rank,bgg_url,game_id,name,min_players,max_players,avg_time,min_time,max_time,weight,year,age,avg_rating,geek_rating,num_votes,owned,designer
1155,https://boardgamegeek.com/boardgame/129736,129736,Cockroach Poker Royal,2,6,25,15,25,1.1224,2012,8,7.05701,6.5055,3669,7043,Jacques Zeimet
1156,https://boardgamegeek.com/boardgame/353545,353545,Next Station: London,1,4,30,25,30,1.4545,2022,8,7.43845,6.5074,2121,3316,Matthew Dunstan
1157,https://boardgamegeek.com/boardgame/833,833,For the People,2,2,360,360,360,3.7336,1998,12,7.7821,6.5036,1651,4479,Mark Herman
1158,https://boardgamegeek.com/boardgame/95103,95103,Fortune and Glory: The Cliffhanger Game,1,8,240,90,240,2.8805,2011,12,7.09422,6.50277,3814,6452,Jason C. Hill
1159,https://boardgamegeek.com/boardgame/44163,44163,Power Grid: Factory Manager,2,5,60,60,60,2.9958,2009,12,6.8404,6.50253,5986,7131,Friedemann Friese
1160,https://boardgamegeek.com/boardgame/295607,295607,Canopy,1,4,30,30,30,2,2021,8,7.43159,6.50273,2249,5896,Tim Eisner
1161,https://boardgamegeek.com/boardgame/305682,305682,Rolling Realms,1,6,30,30,30,1.9079,2021,14,7.17497,6.50232,2985,7444,Jamey Stegmaier
1162,https://boardgamegeek.com/boardgame/293889,293889,Fallout Shelter: The Board Game,2,4,90,60,90,2.0299,2020,14,7.25553,6.50197,2826,5876,Andrew Fischer
1163,https://boardgamegeek.com/boardgame/197070,197070,Massive Darkness,1,6,120,120,120,2.5461,2017,14,7.12976,6.50189,4634,10306,"Raphaël Guiton, Jean-Baptiste Lullien, Nicolas Raoult"
1164,https://boardgamegeek.com/boardgame/124,124,Primordial Soup,3,4,90,90,90,2.7321,1997,12,6.93118,6.50189,4676,5557,"Doris Matthäus, Frank Nestel"
1165,https://boardgamegeek.com/boardgame/143884,143884,Machi Koro,2,4,30,30,30,1.5255,2012,10,6.60865,6.50111,31602,50830,Masao Suganuma
1166,https://boardgamegeek.com/boardgame/301767,301767,Mysterium Park,2,6,45,30,45,1.4603,2020,10,7.11635,6.50062,3494,9262,"Oleksandr Nevskiy, Oleg Sidorenko"
1167,https://boardgamegeek.com/boardgame/68264,68264,No Retreat! The Russian Front,2,2,360,360,360,3.1319,2011,14,7.7648,6.50054,1642,3358,Carl Paradis
